Name,Sex,index,Count
Aaban,M,299846,114
Aabha,F,66925,35
Aabid,M,89037,16
Aabidah,F,15588,5
Aabir,M,61098,10
Aabriella,F,87508,38
Aada,F,27731,13
Aadam,M,684186,273
Aadan,M,295306,130
Aadarsh,M,466798,209
Aadaya,F,11346,8
Aaden,F,17269,5
Aaden,M,382417,4828
Aadesh,M,123184,22
Aadhav,M,310832,217
Aadhavan,M,206948,44
Aadhi,M,166701,54
Aadhira,F,62973,107
Aadhiran,M,28729,6
Aadhvik,M,99921,54
Aadhvika,F,22178,17
Aadhya,F,47381,1725
Aadhyan,M,89605,18
Aadhyareddy,F,13693,6
Aadhyasri,F,13694,6
Aadi,F,48564,16
Aadi,M,350075,851
Aadian,M,31277,5
Aadil,M,646120,361
Aadilynn,F,15854,5
Aadin,M,305664,124
Aadish,M,142746,37
Aadison,F,32073,11
Aadit,M,377829,390
Aadith,M,280981,86
Aadithya,M,60709,11
Aaditri,F,91689,53
Aaditya,M,510617,571
Aadiv,M,91259,17
Aadon,M,332116,118
Aadrian,M,61308,12
Aadrika,F,55428,27
Aadrit,M,93337,15
Aadriti,F,26090,15
Aadvi,F,12835,7
Aadvik,M,168042,264
Aadvika,F,63325,65
Aadya,F,79907,1130
Aadyant,M,28730,6
Aadyn,F,25280,16
Aadyn,M,373762,516
Aafia,F,14448,6
Aafiya,F,38842,21
Aafiyah,F,45729,16
Aafreen,F,16084,5
Aagam,M,148690,30
Aage,M,8048,7
Aagna,F,12836,7
Aagot,F,4273,5
Aahaan,M,172508,43
Aahan,M,346265,314
Aahana,F,59265,627
Aaheli,F,31445,10
Aahil,M,457088,619
Aahir,M,29718,6
Aahliyah,F,59945,24
Aahna,F,128979,89
Aahron,M,33003,5
Aaidan,M,147221,38
Aaiden,M,336085,832
Aaidyn,M,225726,65
Aaila,F,71496,52
Aailiyah,F,46513,15
Aailyah,F,261636,202
Aaima,F,52636,77
Aaira,F,81040,179
Aairah,F,58546,129
Aaisha,F,273173,198
Aaishah,F,58228,23
Aaiyana,F,17270,5
Aaiza,F,59896,24
Aaja,F,15424,5
Aajah,F,75824,29
Aajaylah,F,39891,20
Aajon,M,29480,8
Aakanksha,F,31528,10
Aakarsh,M,303645,58
Aakash,M,776096,953
Aakeem,M,74716,16
Aakif,M,30110,5
Aakil,M,56597,14
Aakilah,F,20014,18
Aakira,F,15426,5
Aakiyah,F,15427,5
Aakriti,F,105807,55
Aala,F,158836,105
Aalaiya,F,13333,7
Aalaiyah,F,117509,67
Aalam,M,30112,5
Aalana,F,131267,55
Aalanah,F,64960,21
Aalani,F,98477,99
Aalap,M,22404,6
Aalasia,F,15590,5
Aalaya,F,202855,147
Aalayah,F,108968,846
Aalayiah,F,41461,20
Aalayjah,F,14497,6
Aalayna,F,109178,40
Aalaysha,F,47797,17
Aalaysia,F,185121,138
Aalea,F,13132,7
Aaleah,F,205975,282
Aaleahya,F,41587,20
Aaleayah,F,16183,5
Aaleena,F,16390,5
Aaleeya,F,16088,5
Aaleeyah,F,172121,128
Aaleiah,F,14451,6
Aaleigha,F,198065,171
Aaleiya,F,15999,29
Aaleiyah,F,117381,48
Aalena,F,16391,5
Aalexis,F,37782,20
Aalexus,F,12068,6
Aaleya,F,48650,16
Aaleyah,F,127999,1196
Aali,M,29719,6
Aalia,F,177234,505
Aaliah,F,109727,917
Aaliana,F,59362,23
Aalias,M,30655,5
Aaliayah,F,190433,124
Aaliayh,F,93302,47
Aalicia,F,16090,5
Aalieyah,F,16392,5
Aaliha,F,29657,12
Aalijah,F,236406,149
Aalijah,M,442975,212
Aalilah,F,15861,5
Aalim,M,138932,34
Aalimah,F,31050,11
Aalina,F,111974,71
Aalinah,F,14453,6
